sat
(error "line 297 column 10: an invalid model was generated")
(:added-eqs                       24306
 :arith-eq-adapter                611
 :arith-bound-propagations-lp     15637
 :arith-branch                    15
 :arith-conflicts                 3440
 :arith-cube-calls                12
 :arith-diseq                     14654
 :arith-fixed-eqs                 4287
 :arith-gcd-calls                 283
 :arith-gomory-cuts               9
 :arith-grobner-calls             880
 :arith-grobner-conflicts         109
 :arith-hnf-calls                 2
 :arith-horner-calls              356
 :arith-horner-conflicts          5
 :arith-horner-cross-nested-forms 15529
 :arith-lower                     20295
 :arith-make-feasible             14339
 :arith-max-columns               318
 :arith-max-rows                  198
 :arith-nla-add-bounds            93
 :arith-nla-lemmas                2210
 :arith-nla-propagate-bounds      361
 :arith-nla-propagate-eq          8673
 :arith-nra-calls                 1109
 :arith-offset-eqs                4607
 :arith-patches                   283
 :arith-patches-success           240
 :arith-upper                     32156
 :binary-propagations             89800
 :conflicts                       2335
 :decisions                       98010
 :del-clause                      3398
 :final-checks                    1896
 :max-memory                      68.92
 :memory                          18.17
 :minimized-lits                  3717
 :mk-bool-var                     5737
 :mk-clause                       5868
 :mk-clause-binary                1134
 :nlsat-conflicts                 91888
 :nlsat-decisions                 2960
 :nlsat-irrational-assignments    3
 :nlsat-propagations              1386871
 :nlsat-stages                    439558
 :num-allocs                      27384896415.00
 :num-checks                      1
 :propagations                    118060
 :restarts                        19
 :rlimit-count                    18532519
 :sls-arith-propagations          15
 :sls-arith-steps                 4627
 :sls-ddfw-flips                  4843.00
 :sls-ddfw-shifts                 3655.00
 :sls-num-guided-search           11
 :sls-num-restart-search          1
 :solve-eqs-elim-vars             16
 :solve-eqs-steps                 180
 :time                            13.84
 :total-time                      13.81)
